"<25,0.01>",Elitist,,,,,,,Mu+1,,,,,,,,Steady-Generational,,,,,,,,Mu+Mu,,,,,,
Run,SPX,Eval,MIDX,Eval,BLX-0,Eval,,Run,SPX,Eval,MIDX,Eval,BLX-0,Eval,,Run,SPX,Eval,MIDX,Eval,BLX-0,Eval,,Run,SPX,Eval,MIDX,Eval,BLX-0,Eval
1,0.997540344,178,0.997543989,273,0.997541972,115,,1,0.997543972,2273,0.997543968,952,0.997543516,804,,1,0.99754153,1364,0.997540671,1844,0.997544142,1524,,1,0.997540585,66,0.997544139,68,0.997541657,43
2,0.997541053,107,0.997543861,83,0.997541975,88,,2,0.9975417,1481,0.99754172,1933,0.997541979,3467,,2,0.997543956,1360,0.997540094,1364,0.997543885,1792,,2,0.997544035,115,0.997540777,97,0.997544046,48
3,0.997543732,45,0.997541853,210,0.99754159,116,,3,0.997542665,3936,0.997543813,3645,0.997543337,882,,3,0.997541919,3265,0.997543593,1330,0.997540973,1280,,3,0.997541455,97,0.997543873,72,0.997543556,61
4,0.997543379,338,0.997543429,111,0.997543776,83,,4,0.997544037,1152,0.997540817,1572,0.997540744,3430,,4,0.997543566,1508,0.997543454,3423,0.997542442,1034,,4,0.997543723,72,0.99754365,112,0.997540641,98
5,0.997543342,170,0.997543813,102,0.997543668,162,,5,0.997544073,1804,0.997543692,3209,0.997543897,1568,,5,0.997543244,1738,0.997540796,2978,0.997540969,2990,,5,0.997544098,78,0.997542825,35,0.997542067,72
6,0.997544093,103,0.9975426,137,0.997542088,60,,6,0.997543271,1535,0.997544141,1858,0.997543515,1074,,6,0.997541897,3555,0.997543622,2383,0.997541228,2035,,6,0.997543406,172,0.997541917,89,0.997542916,83
7,0.997540711,903,0.997543902,88,0.997543868,283,,7,0.997542161,1304,0.99754299,2333,0.997541989,679,,7,0.997541345,2205,0.997544132,2409,0.997542748,2788,,7,0.997542643,79,0.997543431,98,0.997543683,33
8,0.997540007,60,0.997543576,376,0.997544122,194,,8,0.997540185,1821,0.997543253,794,0.99754373,3733,,8,0.997543735,2841,0.997544063,1195,0.997542769,2770,,8,0.997543941,88,0.997543833,62,0.997542433,140
9,0.997540643,362,0.997541765,82,0.997541883,60,,9,0.997541482,460,0.997543306,104,0.997542105,490,,9,0.997543421,3318,0.997540147,2139,0.997541347,2388,,9,0.997544132,98,0.997543853,49,0.997544034,36
10,0.997540775,95,0.99754046,53,0.997541204,343,,10,0.997541062,1064,0.997543126,594,0.997544073,2777,,10,0.997541955,465,0.997543766,978,0.997543788,1767,,10,0.997540101,48,0.997543398,61,0.99754362,103
11,0.997542353,154,0.997543455,72,0.99754413,114,,11,0.997541704,998,0.997543918,645,0.997542969,755,,11,0.997544141,1094,0.997543784,1361,0.997543591,1279,,11,0.997542956,74,0.99754348,40,0.997540641,81
12,0.997541328,146,0.99754094,51,0.997544118,67,,12,0.997543676,2400,0.997544017,1027,0.997543632,2744,,12,0.997540578,705,0.997543855,3015,0.997544058,3360,,12,0.9975441,89,0.997544024,54,0.99754237,148
13,0.997540416,263,0.997543494,39,0.997542883,214,,13,0.997542028,1062,0.997544053,1629,0.997544056,786,,13,0.997540219,1330,0.997543073,1007,0.99754385,2391,,13,0.997541245,224,0.997541601,109,0.997542206,59
14,0.997543396,124,0.997541296,62,0.997544055,286,,14,0.997542099,2959,0.997542382,1187,0.997544029,3220,,14,0.997543533,2090,0.997543788,2056,0.99754362,787,,14,0.997543243,66,0.997543355,41,0.997542353,57
15,0.997540047,140,0.997540749,94,0.997544089,210,,15,0.997542799,928,0.99754306,1261,0.997544043,3292,,15,0.997543546,1273,0.997543993,2210,0.997541184,2637,,15,0.997541271,322,0.997542719,39,0.997543404,74
16,0.997542217,123,0.997543821,108,0.997542578,47,,16,0.997543452,3188,0.997542698,735,0.997544137,1519,,16,0.997540549,2338,0.997543978,1525,0.99754334,2223,,16,0.997542638,42,0.997543971,88,0.997542553,146
17,0.997543554,108,0.997542845,109,0.997542969,155,,17,0.997542251,3559,0.997542084,1012,0.997544129,3431,,17,0.997541267,1315,0.997540951,1232,0.997540634,3151,,17,0.99754414,97,0.997540887,46,0.9975433,98
18,0.997544106,102,0.997543239,47,0.997543778,108,,18,0.997543591,1772,0.997543706,3250,0.997544124,3620,,18,0.997540013,1739,0.997541704,1573,0.997543703,904,,18,0.997540421,134,0.99754093,67,0.997544022,36
19,0.997541956,131,0.997542031,96,0.997543962,92,,19,0.997543691,1839,0.997541908,497,0.9975424,2289,,19,0.997540134,1323,0.997543709,3101,0.99754357,1207,,19,0.997543828,113,0.997544103,38,0.997543905,82
20,0.997540007,121,0.99754292,234,0.997541447,53,,20,0.997542616,2560,0.997543904,1217,0.997543846,1429,,20,0.997540606,3239,0.997543921,805,0.997542274,2928,,20,0.997540481,209,0.997543312,75,0.997543223,66
21,0.997543642,608,0.997544068,194,0.997540268,193,,21,0.997544128,1089,0.997541865,245,0.997543267,814,,21,0.997543927,3701,0.997541558,3185,0.997543529,3035,,21,0.997542234,68,0.997543607,87,0.997543836,118
22,0.997543325,155,0.997541788,190,0.997543061,153,,22,0.997542249,3684,0.997544064,1883,0.997543635,582,,22,0.997544069,3249,0.997543704,1858,0.99754051,1493,,22,0.997543705,206,0.99754384,44,0.997543097,59
23,0.997541518,387,0.997543302,123,0.997541817,109,,23,0.997542654,2160,0.997543907,729,0.997543491,1109,,23,0.99754017,3288,0.997542291,1901,0.99754413,2353,,23,0.997541446,80,0.997541087,55,0.997542121,258
24,0.997544139,110,0.997544038,82,0.997544074,191,,24,0.997541612,1702,0.997543469,466,0.997544142,610,,24,0.997540305,1175,0.99754408,2627,0.997544141,366,,24,0.997540959,91,0.997544015,87,0.997542821,69
25,0.997541609,87,0.997541611,46,0.997544013,241,,25,0.997543984,917,0.997543968,1769,0.997542612,2183,,25,0.997542432,1789,0.997542559,1511,0.997543838,470,,25,0.997540698,89,0.997541957,120,0.997541803,151
26,0.997543891,95,0.997543982,74,0.997543207,181,,26,0.997544103,2964,0.997544141,3122,0.997544087,1700,,26,0.997543556,2730,0.997543432,3452,0.997540125,190,,26,0.997541144,156,0.997543466,51,0.997543017,47
27,0.997543926,151,0.997540477,124,0.997544106,37,,27,0.997540185,1826,0.997544125,2823,0.997544031,2014,,27,0.997542559,1012,0.997543949,1112,0.997543682,3606,,27,0.997542562,117,0.99754182,106,0.997540716,50
28,0.997540998,375,0.99754264,69,0.997543244,87,,28,0.997543226,749,0.997542246,731,0.99754414,680,,28,0.997543876,1609,0.997544125,3823,0.997542597,2698,,28,0.997540917,120,0.997541527,45,0.997544134,62
29,0.99754111,164,0.997543271,87,0.99754096,168,,29,0.997543627,1614,0.997541529,445,0.997544141,1157,,29,0.997541412,2980,0.997543517,3471,0.997540812,2655,,29,0.997540192,135,0.997542397,63,0.997544055,39
30,0.997543563,671,0.997542685,76,0.997544137,170,,30,0.997544103,2769,0.997540408,1504,0.99754414,1620,,30,0.997543184,2065,0.997543148,693,0.997540873,3517,,30,0.997540335,77,0.99754217,168,0.997544046,50
Average,,219,,116,,146,,,,1919,,1439,,1815,,,,2055,,2052,,2054,,,,114,,72,,82